HTNO,182AB1,182AG1,182AM1,182AR1,182AB2,182AG2,182AM2,182AR2,182ABd,182AGd,182AMd,182ARd,182AB1_Label,182AG1_Label,182AM1_Label,182AR1_Label,182AB2_Label,182AG2_Label,182AM2_Label,182AR2_Label
22WH1A1201,30.0,28.0,27.0,34.0,28.0,32.0,30.0,33.0,-2.0,4.0,3.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1202,24.0,24.0,28.0,28.0,30.0,23.0,27.0,29.0,6.0,-1.0,-1.0,1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1203,14.0,14.0,24.0,10.0,14.0,11.0,25.0,10.0,0.0,-3.0,1.0,0.0,beginner,beginner,advanced,beginner,beginner,beginner,advanced,beginner
22WH1A1204,28.0,21.0,30.0,35.0,30.0,28.0,29.0,33.0,2.0,7.0,-1.0,-2.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1205,21.0,21.0,24.0,32.0,29.0,21.0,28.0,27.0,8.0,0.0,4.0,-5.0,intermediate,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1206,19.0,18.0,26.0,24.0,23.0,20.0,29.0,26.0,4.0,2.0,3.0,2.0,intermediate,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1207,24.0,25.0,30.0,35.0,24.0,24.0,31.0,34.0,0.0,-1.0,1.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1208,21.0,17.0,21.0,18.0,22.0,20.0,27.0,19.0,1.0,3.0,6.0,1.0,intermediate,intermediate,intermediate,intermediate,advanced,intermediate,advanced,intermediate
22WH1A1209,17.0,11.0,23.0,12.0,17.0,17.0,29.0,20.0,0.0,6.0,6.0,8.0,intermediate,beginner,advanced,beginner,intermediate,intermediate,advanced,intermediate
22WH1A1210,30.0,27.0,27.0,34.0,33.0,28.0,31.0,33.0,3.0,1.0,4.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1211,27.0,27.0,26.0,35.0,31.0,29.0,29.0,33.0,4.0,2.0,3.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1212,19.0,21.0,26.0,25.0,25.0,18.0,30.0,21.0,6.0,-3.0,4.0,-4.0,intermediate,intermediate,advanced,advanced,advanced,intermediate,advanced,intermediate
22WH1A1213,28.0,26.0,29.0,33.0,28.0,27.0,30.0,31.0,0.0,1.0,1.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1214,20.0,17.0,26.0,20.0,26.0,18.0,27.0,18.0,6.0,1.0,1.0,-2.0,intermediate,intermediate,advanced,intermediate,advanced,intermediate,advanced,intermediate
